,0_x,0_y,0_x,0_y,0_x,0_y,0,coef mean,coef sem
3990,-0.05411176992387226,-0.19197925715441397,-0.03207814017600608,-0.030185256570411174,-0.18638323918387673,0.035323833123979985,0.0444551467579381,-0.05927981187523745,0.0313643189132622
3988,-0.05411176992387226,-0.19197925715441397,-0.03207814017600608,-0.030185256570411174,-0.18638323918387673,0.035323833123979985,0.0444551467579381,-0.05927981187523745,0.0313643189132622
3986,-0.042919248440316284,-0.14506360500239174,-0.11313437718932177,-0.07447029925597604,-0.1584667988154723,0.027345681475564886,0.09557805616640529,-0.058732941580215414,0.030495460028719803
3984,-0.09386623540651808,-0.18306885743709958,-0.13777154849417717,-0.21915855217256264,-0.31047715631502704,0.009640361367721995,0.12695986365294576,-0.11539173211495954,0.04794669520372165
3982,0.07778254067701389,0.13848339910115454,-0.0341601170702382,0.044116849899539665,0.0672199009236933,0.0189622533637855,0.4077945934296989,0.10288563147494965,0.04732436059477016
3980,-0.01192566109595337,-0.14517693317457414,-0.2009544511928906,-0.16337149611311466,-0.21455735711537222,-0.007498048892106266,0.10457319766302779,-0.09127296427442622,0.039416017493329875
3978,0.011605215168014809,-0.1411720258989307,-0.145554232821982,-0.20016514905974084,-0.05778077155978602,-0.003541898284989911,0.14890572289177945,-0.055386162795090746,0.03904370975890058
3976,0.06828972944980484,-0.1409279826670806,-0.06787054365646135,-0.19415660012072972,-0.09199927530600827,0.00787487589354312,-0.11319974234322325,-0.07599850553573646,0.029196694896636923
3974,0.05192380163929523,-0.23905757083886042,-0.18269413369404294,-0.2710202338283605,-0.30226266243554467,0.006380423347746644,-0.35633683046688763,-0.1847238866109506,0.05109387030644992
3972,0.034098033659149034,-0.4534325151903121,-0.17002048256883878,-0.2502401914053717,-0.45167713816460375,0.03696835658043179,-0.2568149827760633,-0.21587413140937267,0.06592909980258113
3970,0.09651872012305222,-0.350732266919816,-0.2175039261139283,-0.05278984867649032,-0.2699776070083301,0.04834030989245097,-0.2936207322022475,-0.148537907272187,0.05815879913450417
3968,0.18525770847590192,-0.04922825553379753,0.08836807060807013,0.3257101131118693,0.08183184810773228,0.07637993815446455,0.008936018372693161,0.10246506304241912,0.04003489730190269
3966,0.2146281771797306,0.045641044548840694,0.05346964291965898,0.3567078645376663,0.17072639315188715,0.08802808090871854,0.13751955229215318,0.15238867936266506,0.03573208021124013
3964,0.31420309207377806,0.3023405640341551,0.033114642551094337,0.45269878453536144,0.5152279416185997,0.09365150963310724,0.29060042455469787,0.28597670842868483,0.05706613773991123
3962,0.4757306155216736,0.8463245021323296,0.4543905745482314,0.6395882025666737,0.9389365459819294,0.13797124404027408,0.6685956518334434,0.5945053338035079,0.08780361084364921
3960,0.5655854113442595,1.040754895758072,0.6131733472996185,0.781975388784949,1.2266586591450388,0.1553295754548961,0.8261623381501795,0.7442342308481447,0.11375847633686843
3958,0.5343689219900283,1.27933026305881,0.784703923988448,0.8398264634219609,1.3356691086423982,0.1697539438079226,1.0071155468824977,0.8501097388274379,0.13440403649080326
3956,0.5025330605562729,1.1474869707534066,0.9387161919816817,0.873767485564508,1.4176316907233488,0.18302654547274683,0.995608788343354,0.8655386761993312,0.13391350615084605
3954,0.6081855574281749,1.3263658063265968,1.1677664905873995,1.0006721925596498,1.548817715017031,0.19467971206003326,1.0521870725743245,0.9855249352218871,0.14875541362776148
3952,0.4440299132551007,0.7403979939501444,0.7694278680134756,0.5499738360511841,0.9836265353810648,0.14615117490638388,0.5871637940738849,0.602967302233034,0.08747427100251284
3950,0.46096768933754056,0.7208883414700151,0.8924631788049681,0.704916748919057,0.8010776780212646,0.13428761390391344,0.7451406466479803,0.637105985300677,0.08443449459356411
3948,0.30554384685612057,0.2819687170194186,0.4450271352813614,0.21038381830086253,0.14445626897837863,0.07196658872580704,0.3516472197347607,0.25871337069952993,0.041478956649508784
3946,0.17881770409195552,-0.02857859341451679,0.22139401662523597,-0.03493939253606459,-0.22794124391750534,0.029559601317897862,0.09107243579700522,0.032769218280572554,0.049395813271508396
3944,0.12182075409535423,-0.12021730337596108,0.07790971580152703,-0.19801131130406197,-0.5130547046865804,-0.002036764002194373,-0.07705096699068176,-0.10152008292322834,0.06964101042458969
3942,0.13939690108887545,0.0904105614595362,0.38973086743348107,-0.028900888810781292,-0.23981814340218102,0.014782699220779528,0.06935840347934395,0.062137200067007695,0.06208370111480121
3940,0.024060693787048188,-0.16652948403653853,0.09610792081909798,-0.1637724560820107,-0.3312488337194262,-0.010100409801924124,-0.18338949390362613,-0.10498172327676851,0.04830714877812913
3938,0.0652937715018847,-0.1421246245567278,0.027394212960683527,-0.11269323001640033,-0.16385422452304121,-0.0026800322783406055,-0.2099618380662759,-0.07694656642545968,0.0346942864831391
3936,0.16432646230108858,0.17096451168275206,0.2850148456686457,0.21197698410297394,0.1215670982365585,0.040982982716819084,0.012048961181717775,0.14384026369865083,0.03110263711646841
3934,0.25964411212571803,0.36767292984154193,0.2748905623633248,0.2361831605553116,0.37818689835915364,0.05622322676750269,0.14875294179790483,0.24593626168720822,0.03752786113333045
3932,0.39670025049720137,0.7593096892624617,0.45212771317636313,0.5251110855466956,0.7602682884373854,0.07886254698271025,0.4210069955854943,0.4847695099269017,0.07682855820256695
3930,0.4229854249343373,0.8127218421561193,0.44951822105089306,0.41529340948743376,0.6912465701089462,0.10559114693015528,0.5514872244812109,0.49269197702129935,0.07414518692358592
3928,0.4422659291488406,0.9743611731145542,0.7960223828097072,0.6145750049686765,0.8207569441567049,0.11747737716273422,0.8735101380504715,0.6627098499159556,0.09751422597675842
3926,0.4760556011395846,1.0396350233809115,1.0027458154337907,0.7237338456635548,0.9557227448849284,0.15007558838302432,1.2046047820756833,0.7932247715659253,0.12095766140054157
3924,0.20897948271636074,0.5806000774297131,0.6344432270274182,0.28287204304086894,0.4152160060781574,0.12178443820130579,0.8950401206393303,0.44841934216187923,0.08905023951541838
3922,0.12251835058892656,0.35578611809566635,0.5388156095268307,0.1357920565967437,0.22112044611870582,0.11085261331313719,0.7056392669650882,0.31293206588644257,0.07606156287115792
3920,0.12251835058892656,0.35578611809566635,0.5388156095268307,0.1357920565967437,0.22112044611870582,0.11085261331313719,0.7056392669650882,0.31293206588644257,0.07606156287115792
3918,-0.0530478295466831,-0.0459548431621644,0.1888452977971788,0.006287034548709746,-0.06864192167948374,0.08340883092301844,0.2156184605976656,0.046645004211177336,0.03862774845664562
3916,-0.08535536835370988,-0.14147250885311533,0.294224542475443,-0.04244533138275181,-0.18916290163726507,0.07130505098865694,0.3538651344457255,0.03727980252614048,0.06969688947160609
3914,-0.04892757473616205,0.005592910568457762,0.39469889621593474,0.06384872691472636,0.11562882595282875,0.07361338241538858,0.2811740067118591,0.12651845343471904,0.05142407907998419
3912,0.10986742960854573,0.18746292195143818,0.5584097734380767,0.17079965583825252,0.26537926434462045,0.10573926163705456,0.28337759239152205,0.24014798560135858,0.051133511699330884
3910,0.2264704432344412,0.5940352352453693,0.9438248063798986,0.5723359217754677,0.5559682101248185,0.1125555553112072,0.7197161380014285,0.5321294728675187,0.09259827661589655
3908,0.25956053456012596,0.6356074396294568,0.8951214763159218,0.6470920051210524,0.7094265421354665,0.097282204559127,0.6431580320119495,0.5553211763332999,0.09054101742435415
3906,0.29790191993314974,0.7916317214284777,0.8274699990495563,0.6630895720492707,0.6993558992910601,0.09769714011339274,0.7357234753449787,0.5875528181728409,0.0909498443406088
3904,0.2257670543433139,0.5904716812003797,0.46787515048463413,0.4438731367037508,0.5570233103426494,0.08108677031443098,0.4937017696655157,0.4085426961506678,0.06091557608753603
3902,0.12148448665620186,0.2613600669799756,0.11831850588153459,0.15851730833051803,0.2770139552041535,0.03626786291225973,0.17088670322881086,0.16340698417049346,0.02756033260117736
3900,0.19759098490509944,0.3546669695058062,0.15364017309800287,0.14152308979656403,0.4059034879836861,0.0513836493320599,0.13775900201755542,0.20606676523411055,0.04174664780893776
3898,0.047103004859455115,0.23511219066757216,0.013968852919605122,-0.03991130412007657,0.21184334362278,0.01203872582309234,-0.06605106428018641,0.05915767849889169,0.03876954255767802
3896,0.07069887890698207,0.3158481762214039,0.26909987046830697,0.13353249428602668,0.2523096263512588,0.017081282884753798,0.2505782056968474,0.1870212192593685,0.03705856103841528
3894,-0.010232804110760468,0.19043492820477692,0.1893037831306042,0.08130496551086773,0.1981679887663138,0.022096523199023287,0.26967182101284864,0.1343924579590963,0.03403489851507315
3892,0.12709111061457906,0.6027888183172964,0.6690285704404606,0.5005571290545456,0.5611979459070316,0.07518286258330716,0.7785101341298565,0.4734795101495824,0.0881412095464578
3890,0.06898297501159373,0.2851037423849033,0.4922016765080424,0.4246523360727735,0.4432990328408098,0.06044951049670803,0.5773676828628473,0.33600813659681117,0.06706157001607768
