,0_x,1_x,2_x,0_y,1_y,2_y,0_x,1_x,2_x,0_y,1_y,2_y,0_x,1_x,2_x,0_y,1_y,2_y,0_x,1_x,2_x,0_y,1_y,2_y,0_x,1_x,2_x,0_y,1_y,2_y,0_x,1_x,2_x,0_y,1_y,2_y,0_x,1_x,2_x,0_y,1_y,2_y,0_x,1_x,2_x,0_y,1_y,2_y,0_x,1_x,2_x,0_y,1_y,2_y,0_x,1_x,2_x,0_y,1_y,2_y,0_x,1_x,2_x,0_y,1_y,2_y,0_x,1_x,2_x,0_y,1_y,2_y,0,1,2,coef mean,coef sem
3855,-0.19791013210382136,0.13422096999222122,0.06368916211159874,-0.29851161387391345,0.20017341487083426,0.09833819900315675,-0.2675500692674834,0.2162363611621328,0.05131370810538411,-0.36563017627606603,0.2844937826745177,0.08113639360153745,-0.22101421895281745,0.21413490656887366,0.0068793123839561215,-0.19791013210382136,0.13422096999222122,0.06368916211159874,-0.29851161387391345,0.20017341487083426,0.09833819900315675,-0.2675500692674834,0.2162363611621328,0.05131370810538411,-0.36563017627606603,0.2844937826745177,0.08113639360153745,-0.22101421895281745,0.21413490656887366,0.0068793123839561215,-0.1978712709918174,0.13419619508090996,0.06367507591091477,-0.29851161387391345,0.20017341487083426,0.09833819900315675,-0.2675500692674834,0.2162363611621328,0.05131370810538411,-0.36563017627606603,0.2844937826745177,0.08113639360153745,-0.22093351244183781,0.21409950355298857,0.006834008888859446,-0.12384660270442742,0.08137695176117384,0.04246965094325733,-0.29851161387391345,0.20017341487083426,0.09833819900315675,-0.2675500692674834,0.2162363611621328,0.05131370810538411,-0.36563017627606603,0.2844937826745177,0.08113639360153745,-0.22101421895281745,0.21413490656887366,0.0068793123839561215,-0.1238701529767568,0.08137498243702625,0.042495170539730454,-0.29851161387391345,0.20017341487083426,0.09833819900315675,-0.2675023480113398,0.2162771814285337,0.05122516658280579,-0.36560584650777467,0.284575614474821,0.08103023203294446,-0.22093351244183781,0.21409950355298857,0.006834008888859446,7.12077387795181e-15,0.023358411786294674
3853,0.1367949740786573,-0.02651369454169984,-0.11028127953694787,0.08259831016018084,0.0025818035750281463,-0.08518011373512507,0.16205475016466853,-0.018471283640910288,-0.14358346652373347,0.032986549937969366,0.10894931202061475,-0.1419358619585973,0.12306664630866528,0.03533000098982241,-0.1583966472984572,0.1367949740786573,-0.02651369454169984,-0.11028127953694787,0.08259831016018084,0.0025818035750281463,-0.08518011373512507,0.16205475016466853,-0.018471283640910288,-0.14358346652373347,0.032986549937969366,0.10894931202061475,-0.1419358619585973,0.12306664630866528,0.03533000098982241,-0.1583966472984572,0.13675918270855184,-0.026485893599095617,-0.11027328910945429,0.08259831016018084,0.0025818035750281463,-0.08518011373512507,0.16205475016466853,-0.018471283640910288,-0.14358346652373347,0.032986549937969366,0.10894931202061475,-0.1419358619585973,0.12300184001235182,0.035430418474483236,-0.15843225848682493,0.08436912328537617,-0.013378877652082647,-0.07099024563329173,0.08259831016018084,0.0025818035750281463,-0.08518011373512507,0.16205475016466853,-0.018471283640910288,-0.14358346652373347,0.032986549937969366,0.10894931202061475,-0.1419358619585973,0.12306664630866528,0.03533000098982241,-0.1583966472984572,0.08433802927353407,-0.013368970468225033,-0.0709690588053104,0.08259831016018084,0.0025818035750281463,-0.08518011373512507,0.1619755896396645,-0.018300501407770484,-0.14367508823188962,0.0328930085992967,0.10912855096815186,-0.14202155956743637,0.12300184001235182,0.035430418474483236,-0.15843225848682493,8.208618969736866e-15,0.01183880337068444
3851,0.4997171509103245,-0.09822860599551156,-0.40148854491481323,0.40389601566873,-0.021209875246809277,-0.3826861404218445,0.5328348915315533,-0.07513031075120846,-0.4577045807803239,0.40515275436123893,-0.024588494290497455,-0.38056426007074395,0.4589886676339153,-0.0578123795210158,-0.401176288112892,0.4997171509103245,-0.09822860599551156,-0.40148854491481323,0.40389601566873,-0.021209875246809277,-0.3826861404218445,0.5328348915315533,-0.07513031075120846,-0.4577045807803239,0.40515275436123893,-0.024588494290497455,-0.38056426007074395,0.4589886676339153,-0.0578123795210158,-0.401176288112892,0.4996514475532024,-0.09826079402395164,-0.4013906535292454,0.40389601566873,-0.021209875246809277,-0.3826861404218445,0.5328348915315533,-0.07513031075120846,-0.4577045807803239,0.40515275436123893,-0.024588494290497455,-0.38056426007074395,0.4587778343811674,-0.05777818729877496,-0.4009996470823835,0.27762944067019757,-0.0424211198690692,-0.23520832080112508,0.40389601566873,-0.021209875246809277,-0.3826861404218445,0.5328348915315533,-0.07513031075120846,-0.4577045807803239,0.40515275436123893,-0.024588494290497455,-0.38056426007074395,0.4589886676339153,-0.0578123795210158,-0.401176288112892,0.2776603726349457,-0.04242599796044738,-0.23523437467449762,0.40389601566873,-0.021209875246809277,-0.3826861404218445,0.5327626513474569,-0.075130865110541,-0.45763178623693607,0.405104200004632,-0.024613779948852072,-0.38049042005577677,0.4587778343811674,-0.05777818729877496,-0.4009996470823835,6.493324396690999e-15,0.0397296817557758
3849,0.34562672200585737,-0.07603873887413026,-0.2695879831317287,0.2747615167528222,0.016426785106733892,-0.29118830185947747,0.38530481177796494,-0.07853867859466339,-0.3067661331832751,0.2976249838146554,-0.04043281688338073,-0.2571921669312804,0.2998345256227893,-0.014074154423481613,-0.2857603711993001,0.34562672200585737,-0.07603873887413026,-0.2695879831317287,0.2747615167528222,0.016426785106733892,-0.29118830185947747,0.38530481177796494,-0.07853867859466339,-0.3067661331832751,0.2976249838146554,-0.04043281688338073,-0.2571921669312804,0.2998345256227893,-0.014074154423481613,-0.2857603711993001,0.3456141888817298,-0.07606362153193168,-0.269550567349786,0.2747615167528222,0.016426785106733892,-0.29118830185947747,0.38530481177796494,-0.07853867859466339,-0.3067661331832751,0.2976249838146554,-0.04043281688338073,-0.2571921669312804,0.2996932159184516,-0.014090095129507816,-0.28560312078893585,0.19182870621041964,-0.02954409924977156,-0.16228460696064426,0.2747615167528222,0.016426785106733892,-0.29118830185947747,0.38530481177796494,-0.07853867859466339,-0.3067661331832751,0.2976249838146554,-0.04043281688338073,-0.2571921669312804,0.2998345256227893,-0.014074154423481613,-0.2857603711993001,0.19185979422131494,-0.02957236606057972,-0.16228742816073669,0.2747615167528222,0.016426785106733892,-0.29118830185947747,0.3852379518982268,-0.07855899701649174,-0.3066789548817052,0.2976188578195808,-0.04045031211940256,-0.257168545700173,0.2996932159184516,-0.014090095129507816,-0.28560312078893585,7.479202442558137e-15,0.027809934771362167
3847,0.279994752326043,-0.11519967635663698,-0.16479507596940612,0.22629966838632493,-0.036877433232789275,-0.18942223515345102,0.2379879685770718,-0.082299970248821,-0.15568799832822247,0.21562305263416384,-0.051706803258324587,-0.16391624937584745,0.2635579320465857,-0.061192160956304587,-0.2023657710902691,0.279994752326043,-0.11519967635663698,-0.16479507596940612,0.22629966838632493,-0.036877433232789275,-0.18942223515345102,0.2379879685770718,-0.082299970248821,-0.15568799832822247,0.21562305263416384,-0.051706803258324587,-0.16391624937584745,0.2635579320465857,-0.061192160956304587,-0.2023657710902691,0.27991109099125366,-0.11519140416358163,-0.16471968682766794,0.22629966838632493,-0.036877433232789275,-0.18942223515345102,0.2379879685770718,-0.082299970248821,-0.15568799832822247,0.21562305263416384,-0.051706803258324587,-0.16391624937584745,0.2634427195800917,-0.0611785876092772,-0.20226413197080695,0.15329878541385833,-0.05003461109957239,-0.10326417431428264,0.22629966838632493,-0.036877433232789275,-0.18942223515345102,0.2379879685770718,-0.082299970248821,-0.15568799832822247,0.21562305263416384,-0.051706803258324587,-0.16391624937584745,0.2635579320465857,-0.061192160956304587,-0.2023657710902691,0.1533137444485445,-0.05006187806178745,-0.10325186638676043,0.22629966838632493,-0.036877433232789275,-0.18942223515345102,0.23799238593542862,-0.08240640513933675,-0.15558598079609667,0.21559975998604472,-0.05167089893263648,-0.16392886105340493,0.2634427195800917,-0.0611785876092772,-0.20226413197080695,7.427392034742298e-15,0.01991649057423995
3845,0.1692949064106618,-0.0020882083298663307,-0.16720669808079408,0.18873545895936336,-0.000247405769081121,-0.18848805319019513,0.1331775210661941,0.05133771272290109,-0.18451523378906545,0.15856664974370105,0.022423641486753323,-0.1809902912304626,0.13659035653136195,0.03360921269064493,-0.17019956922199259,0.1692949064106618,-0.0020882083298663307,-0.16720669808079408,0.18873545895936336,-0.000247405769081121,-0.18848805319019513,0.1331775210661941,0.05133771272290109,-0.18451523378906545,0.15856664974370105,0.022423641486753323,-0.1809902912304626,0.13659035653136195,0.03360921269064493,-0.17019956922199259,0.16919485366894685,-0.0020571057135639536,-0.16713774795538416,0.18873545895936336,-0.000247405769081121,-0.18848805319019513,0.1331775210661941,0.05133771272290109,-0.18451523378906545,0.15856664974370105,0.022423641486753323,-0.1809902912304626,0.13648048163631754,0.0336395447513566,-0.1701200263876702,0.10011386012204965,0.005202395751928749,-0.10531625587397533,0.18873545895936336,-0.000247405769081121,-0.18848805319019513,0.1331775210661941,0.05133771272290109,-0.18451523378906545,0.15856664974370105,0.022423641486753323,-0.1809902912304626,0.13659035653136195,0.03360921269064493,-0.17019956922199259,0.10008014602237962,0.005212038907698603,-0.10529218493008029,0.18873545895936336,-0.000247405769081121,-0.18848805319019513,0.13317977034512707,0.05128227850064132,-0.18446204884576986,0.15850273861036196,0.022439150810217,-0.1809418894205739,0.13648048163631754,0.0336395447513566,-0.1701200263876702,7.713459500754047e-15,0.015534539695001138
3843,-0.08431072653709368,0.13624503921298967,-0.05193431267589495,-0.016795556713501997,0.08102347859336759,-0.06422792187977923,-0.09722930507040914,0.17792795412227772,-0.08069864905184242,-0.10533013318079847,0.20229984976697016,-0.09696971658617969,-0.1043564539429099,0.1758325745240407,-0.07147612058111832,-0.08431072653709368,0.13624503921298967,-0.05193431267589495,-0.016795556713501997,0.08102347859336759,-0.06422792187977923,-0.09722930507040914,0.17792795412227772,-0.08069864905184242,-0.10533013318079847,0.20229984976697016,-0.09696971658617969,-0.1043564539429099,0.1758325745240407,-0.07147612058111832,-0.08441460595446444,0.1362914128414138,-0.05187680688694852,-0.016795556713501997,0.08102347859336759,-0.06422792187977923,-0.09722930507040914,0.17792795412227772,-0.08069864905184242,-0.10533013318079847,0.20229984976697016,-0.09696971658617969,-0.10443726125625193,0.17585049762409458,-0.07141323636783062,-0.040475990222354805,0.0773493741485336,-0.03687338392617549,-0.016795556713501997,0.08102347859336759,-0.06422792187977923,-0.09722930507040914,0.17792795412227772,-0.08069864905184242,-0.10533013318079847,0.20229984976697016,-0.09696971658617969,-0.1043564539429099,0.1758325745240407,-0.07147612058111832,-0.04051482371449993,0.07736911486817542,-0.036854291153681266,-0.016795556713501997,0.08102347859336759,-0.06422792187977923,-0.09723315023920549,0.17791489580476008,-0.08068174556555391,-0.10535142686880236,0.2022097566047188,-0.09685832973591017,-0.10443726125625193,0.17585049762409458,-0.07141323636783062,7.644070561714974e-15,0.012826370111931568
3841,-0.11694082283191817,-0.0061374397529274085,0.12307826258484277,-0.09359109738261566,0.003559589911609221,0.09003150747108847,-0.08526568832078213,0.013671808409692874,0.07159387991111826,-0.18926348578389915,0.11044010483994168,0.07882338094395255,-0.12526564872186352,0.051651769098965475,0.07361387962290449,-0.11694082283191817,-0.0061374397529274085,0.12307826258484277,-0.09359109738261566,0.003559589911609221,0.09003150747108847,-0.08526568832078213,0.013671808409692874,0.07159387991111826,-0.18926348578389915,0.11044010483994168,0.07882338094395255,-0.12526564872186352,0.051651769098965475,0.07361387962290449,-0.11699370729056996,-0.006112476864210908,0.12310618415478555,-0.09359109738261566,0.003559589911609221,0.09003150747108847,-0.08526568832078213,0.013671808409692874,0.07159387991111826,-0.18926348578389915,0.11044010483994168,0.07882338094395255,-0.12523574430387863,0.05164279969072604,0.07359294461316457,-0.06740783682035512,-0.005697624412603132,0.07310546123296266,-0.09359109738261566,0.003559589911609221,0.09003150747108847,-0.08526568832078213,0.013671808409692874,0.07159387991111826,-0.18926348578389915,0.11044010483994168,0.07882338094395255,-0.12526564872186352,0.051651769098965475,0.07361387962290449,-0.06743396940949226,-0.005691284973459467,0.07312525438294896,-0.09359109738261566,0.003559589911609221,0.09003150747108847,-0.0853450239586279,0.013763507464367697,0.07158151649425633,-0.18930881738627764,0.11042131150080593,0.07888750588547933,-0.12523574430387863,0.05164279969072604,0.07359294461316457,7.389644451905042e-15,0.010627774759349454
3839,-0.07616006805534598,-0.029559576997592034,0.10571964505293725,-0.050466713374160685,-0.018206489509812514,0.06867320288405504,-0.01629256383372907,-0.055473046666599024,0.07176561050036002,-0.05602859935856311,-0.03511631685180281,0.09114491621035824,-0.009505262112336228,-0.06010728348148117,0.06961254559382798,-0.07616006805534598,-0.029559576997592034,0.10571964505293725,-0.050466713374160685,-0.018206489509812514,0.06867320288405504,-0.01629256383372907,-0.055473046666599024,0.07176561050036002,-0.05602859935856311,-0.03511631685180281,0.09114491621035824,-0.009505262112336228,-0.06010728348148117,0.06961254559382798,-0.07606626970207385,-0.02962110780149965,0.10568737750358351,-0.050466713374160685,-0.018206489509812514,0.06867320288405504,-0.01629256383372907,-0.055473046666599024,0.07176561050036002,-0.05602859935856311,-0.03511631685180281,0.09114491621035824,-0.0093836098745255,-0.06016886232236946,0.06955247219689994,-0.0467623578313966,-0.01878282083103862,0.06554517866243871,-0.050466713374160685,-0.018206489509812514,0.06867320288405504,-0.01629256383372907,-0.055473046666599024,0.07176561050036002,-0.05602859935856311,-0.03511631685180281,0.09114491621035824,-0.009505262112336228,-0.06010728348148117,0.06961254559382798,-0.046751713881683435,-0.01879655012962745,0.06554826401131086,-0.050466713374160685,-0.018206489509812514,0.06867320288405504,-0.016250372183778113,-0.05545782225826662,0.07170819444204606,-0.05600942297134197,-0.03511780817480542,0.0911272311461556,-0.0093836098745255,-0.06016886232236946,0.06955247219689994,7.59152000521605e-15,0.006672337122461174
3837,0.04299884192198939,-0.06801010704483791,0.025011265122849347,0.07135399288162414,-0.06323693142301447,-0.00811706145852868,0.04796516735462165,-0.07893039395400996,0.030965226599416647,0.11023807594717613,-0.10165166157961007,-0.008586414367572471,0.04540850745090337,-0.06678518041305037,0.021376672962158796,0.04299884192198939,-0.06801010704483791,0.025011265122849347,0.07135399288162414,-0.06323693142301447,-0.00811706145852868,0.04796516735462165,-0.07893039395400996,0.030965226599416647,0.11023807594717613,-0.10165166157961007,-0.008586414367572471,0.04540850745090337,-0.06678518041305037,0.021376672962158796,0.04314947181956943,-0.06805919779000685,0.02490972597044036,0.07135399288162414,-0.06323693142301447,-0.00811706145852868,0.04796516735462165,-0.07893039395400996,0.030965226599416647,0.11023807594717613,-0.10165166157961007,-0.008586414367572471,0.04546631772117391,-0.06675453284239029,0.021288215121223267,0.01693321613447981,-0.023713414306885203,0.00678019817240873,0.07135399288162414,-0.06323693142301447,-0.00811706145852868,0.04796516735462165,-0.07893039395400996,0.030965226599416647,0.11023807594717613,-0.10165166157961007,-0.008586414367572471,0.04540850745090337,-0.06678518041305037,0.021376672962158796,0.01697846016968535,-0.023749961389373905,0.006771501219686963,0.07135399288162414,-0.06323693142301447,-0.00811706145852868,0.04809674816483592,-0.07898061769759226,0.030883869532755032,0.11033743940803097,-0.10163807125040444,-0.008699368157621698,0.04546631772117391,-0.06675453284239029,0.021288215121223267,7.355782649653974e-15,0.006806332211767184
